Entry,verb,stemlem,Positiv,Negativ,Strong,Weak,Active,Passive,Defined,commonness
EQUATE,equate,equat,,,,,,,,
EQUIP,equip,equip,,,Strong,,Active,,|,
ERADICATE,eradicate,erad,,Negativ,,,Active,,|,
ERASE,erase,eras,,Negativ,,,Active,,|,
ERECT#2,erect,erect,,,Strong,,Active,,|,
ERODE,erode,erod,,Negativ,,,,Passive,|,
ERR,err,err,,Negativ,,Weak,Active,,|,
ESCAPE#1,escape,escap,,,Strong,,Active,,"| 89% verb: To slip or get away, as from confinement or restraint, gain  or regain liberty--avoid capture, punishment or any threatened evil",89.0
ESCORT,escort,escort,,,,,,,,
ESTABLISH#1,establish,establish,Positiv,,Strong,,Active,,"| 94% verb: To set up, institute, prove or demonstrate",94.0
ESTIMATE#2,estimate,estim,,,,,,,|,
ESTRANGE,estrange,estrang,,,,,,,,
ETRANS#3,etrans,etran,,,,,,,,
EVACUATE,evacuate,evacu,,,,,,,,
EVADE,evade,evad,,Negativ,,,Active,,|,
EVALUATE,evaluate,evalu,,,,,Active,,|,
EVEN#3,even,even,,Negativ,,,,,"| 2% idiom-verb: ""Get even""--to have one's revenge, square accounts",2.0
EVICT,evict,evict,,Negativ,,,,,|,
EVIDENCE#2,evidence,evid,,,Strong,,Active,,"| 17% verb: To show, make evident",17.0
EVOKE,evoke,evok,,,,,,,,
EVOLVE,evolve,evolv,,,,,,Passive,|,
EXACT#3,exact,exact,,,Strong,,Active,,"| 2% verb: To force from, obtain",2.0
EXAGGERATE,exaggerate,exagger,,,,,,,|,
EXALT,exalt,exalt,Positiv,,,,,Passive,|,
EXAMINE,examine,examin,,,,,Active,,| verb: To scrutinize or test,
EXASPERATE,exasperate,exasper,,Negativ,,,,,|,
EXCEED,exceed,exceed,,,Strong,,Active,,|,
EXCEL,excel,excel,Positiv,,Strong,,Active,,|,
EXCEPTION#2,exception,except,,Negativ,,,,,| 9% idiom-verb: Make an objection- 'take exception',9.0
EXCHANGE#2,exchange,exchang,,,,,Active,,"| 6% verb: To give like for like, to trade",6.0
EXCITE#1,excite,excit,Positiv,,,,Active,,| 0% verb: To thrill or stimulate,0.0
EXCITED#2,excited,excit,Positiv,,,,,Passive,"| 4% verb: Past tense of ""excite""",4.0
EXCLAIM,exclaim,exclaim,,,,,,,,
EXCLUDE,exclude,exclud,,Negativ,Strong,,Active,,|,
EXCUSE#2,excuse,excus,,,Strong,,,,|,
EXECUTE,execute,execut,,Negativ,,,,,|,
EXERCISE#2,exercise,exercis,,,Strong,,Active,,|,
EXERT,exert,exert,,,Strong,,Active,,|,
EXHAUST,exhaust,exhaust,,Negativ,,,,,|,
EXHIBIT#2,exhibit,exhibit,,,,,Active,,|,
EXILE,exile,exil,,Negativ,,,Active,,|,
EXIST#1,exist,exist,,,,,,,"| 77% verb: To live, to be",77.0
EXIT,exit,exit,,Negativ,,,,,|,
EXPAND#2,expand,expand,,,Strong,,Active,,|,
EXPECT#1,expect,expect,,,,,,Passive,| 98% verb: To regard as likely to happen,98.0
EXPEDITE,expedite,expedit,,,,,,,,
EXPEL,expel,expel,,Negativ,,,Active,,|,
EXPELL,expell,expel,,,,,,,,
EXPEND,expend,expend,,,,,Active,,|,
EXPERIENCE#2,experience,experi,,,,,,Passive,| 14% verb: To encounter or undergo,14.0
EXPERIMENT#2,experiment,experi,,,,,Active,,|,
EXPIRE,expire,expir,,,,Weak,,Passive,|,
EXPLAIN,explain,explain,,,,,Active,,"| verb: To make plain or clear, render intelligible, make clear the cause  or reason of.",
EXPLODE,explode,explod,,Negativ,,,,Passive,|,
EXPLOIT#2,exploit,exploit,,Negativ,Strong,,Active,,|,
EXPLORE,explore,explor,,,,,Active,,|,
EXPOSE,expose,expos,,Negativ,,,Active,,|,
EXPRESS,express,express,,,,,Active,,"| verb: To render in communicable form ideas, opinions, or feelings-- to  manifest, show or reveal",
EXTEND#1,extend,extend,,,Strong,,Active,,"| 87% verb: To expand, stretch or lengthen in space, time or degree",87.0
EXTEND#2,extend,extend,,,,,Active,,"| 13% verb: To hold out to, offer",13.0
EXTERMINATE,exterminate,extermin,,Negativ,,,Active,,|,
EXTINGUISH,extinguish,extinguish,,Negativ,Strong,,Active,,|,
EXTOL,extol,extol,Positiv,,,,,Passive,|,
EXTRAPOLATE,extrapolate,extrapol,,,,,Active,,|,
EXULT,exult,exult,Positiv,,,,,Passive,|,
FABRICATE,fabricate,fabric,,Negativ,,,Active,,|,
FACE#2,face,face,,,Strong,,Active,,"| 30% verb: Confront, direct attention to",30.0
FACILITATE,facilitate,facilit,Positiv,,Strong,,,,|,
FADE#2,fade,fade,,,,,,Passive,|,
FAIL#1,fail,fail,,Negativ,,Weak,,Passive,| 56% verb: To be unsuccessful or lose strength,56.0
FALL#1,fall,fall,,,,Weak,,Passive,"| 74% verb: General verb sense--drop, descend, collapse, sink, decline",74.0
FALTER,falter,falter,,Negativ,,Weak,,,|,
FAMILIARIZE,familiarize,familiar,Positiv,,,,Active,,|,
FAN#2,fan,fan,,,,,Active,,"| 19% verb: To stir up, cause air to blow on",19.0
FARE#2,fare,fare,,,,,,,|,
FARM#2,farm,farm,,,,,,,| 12% verb: To operate such a facility,12.0
FASCINATE#2,fascinate,fascin,,,,,,,|,
FAST#2,fast,fast,,,Strong,,Active,,| 4% verb: To abstain from eating,4.0
FASTEN,fasten,fasten,,,,,,,|,
FATHOM#2,fathom,fathom,,,Strong,,Active,,|,
FAVOR#2,favor,favor,Positiv,,,,,,| 26% verb: To prefer,26.0
FEAR#2,fear,fear,,Negativ,,Weak,,Passive,| 33% verb: To be afraid of,33.0
FEAST#2,feast,feast,Positiv,,,,Active,,"| 17% verb: To celebrate, usually by gorging oneself",17.0
FEATHER#2,feather,feather,,,,,,,| 16% verb: To provide or cover with feathers,16.0
FEATURE#2,feature,featur,,,,,,,|,
FED#1,fed,feed,,,,,,,| 72% verb-adj: Provided something necessary for growth,72.0
FEDERATE,federate,feder,,,,,,,,
FEED#1,feed,feed,,,Strong,,,,"| 78% verb: To supply a necessary input, usually nutritional",78.0
FEEL#1,feel,feel,,,,,,Passive,"| 46% verb: To have an impression, experience an idea or Emotion, to touch",46.0
FEIGN,feign,feign,,Negativ,,,Active,,|,
FEINT,feint,feint,,Negativ,,,Active,,|,
FENCE#2,fence,fenc,,,Strong,,Active,,| 3% verb: To enclose,3.0
FETCH,fetch,fetch,,,,,Active,,"| verb: Bring, bring back, summon",
FIDGET,fidget,fidget,,Negativ,,Weak,Active,,|,
FIELD#2,field,field,,,,,,,"| 1% verb: To handle or answer, to catch in baseball, to put on a field",1.0
FIGHT#2,fight,fight,,Negativ,Strong,,Active,,| 67% verb: To engage in conflict,67.0
FIGURE#3,figure,figur,,,,,Active,,"| 31% verb: To solve, calculate, or reason out",31.0
FILE#2,file,file,,,,,,,|,
FILL#1,fill,fill,,,Strong,,,,"| 78% verb: To make or be full of, to pervade",78.0
FILL#2,fill,fill,,,Strong,,Active,,"| 14% idiom-verb: 'fill in'--to satisfy (a requirement or need), to supply  with satisfactorily",14.0
FILM#2,film,film,,,,,Active,,"| 0% verb: To make a film of, to photograph in film",0.0
FINANCE#2,finance,financ,,,Strong,,,,|,
FIND#1,find,find,,,,,Active,,"| verb: Locate, discover, learn, adjudge, encounter",
FINE#7,fine,fine,,Negativ,Strong,,Active,,| 0% verb: To levy a fee in punishment,0.0
FINGER#2,finger,finger,,,,,,,|,
FINISH#1,finish,finish,,,,,Active,,"| verb: To complete, end, draw to a close, put the final touches on",
FISH#1,fish,fish,,,,,,,| 22% verb: To try to catch fish,22.0
FIX#1,fix,fix,,,Strong,,Active,,"| 65% verb: To repair, mend, prepare, arrange; influence a result or action  to one's advantage (0); get even with (0)",65.0
FIX#2,fix,fix,,,,,Active,,"| 14% idiom-verb: ""Fixing to""--planning or preparing to do something",14.0
FIXATE,fixate,fixat,,,,,,,,
FLASH#2,flash,flash,,,,,Active,,|,
FLATTER,flatter,flat,Positiv,,,Weak,,Passive,|,
FLAUNT,flaunt,flaunt,Positiv,,,,Active,,|,
FLAVOR#2,flavor,flavor,,,,,,Passive,|,
FLED,fled,flee,,Negativ,,Weak,Active,,| verb: To have run or passed away quickly,
FLEE,flee,flee,,Negativ,,Weak,Active,,|,
FLEW,flew,fli,,,Strong,,Active,,"| verb: Moved swiftly, usually through the air (past tense of fly)",
FLIRT,flirt,flirt,Positiv,,,,Active,,|,
FLOAT,float,float,,,,,,Passive,|,
FLOOD#2,flood,flood,,,Strong,,,,|,
FLOOR#5,floor,floor,,Negativ,Strong,,Active,,| 2% verb: To provide with a floor; to knock to the floor (0),2.0
FLOUNDER,flounder,flounder,,Negativ,,Weak,,Passive,|,
FLOW#2,flow,flow,,,,,Active,,| 47% verb: To move as a liquid,47.0
FLOWER#2,flower,flower,,,,,,,| 0% verb: To bloom,0.0
FLOWN,flown,fli,,,,,Active,,|,
FLUCTUATE,fluctuate,fluctuat,,,,,,,,
FLUNG,flung,fling,,,,,Active,,|,
FLY#2,fly,fli,,,Strong,,Active,,"| 62% verb: To move swiftly, usually through the air",62.0
FOAM#2,foam,foam,,,,,,,|,
FOCUS#2,focus,focus,,,,,,,|,
FOLD,fold,fold,,,,,,,|,
FOLLOW#1,follow,follow,,,,Weak,,Passive,"| 42% verb: To give allegiance to, obey, act in accordance with, ""i wish  he would follow my advice,"" infrequently, understand--""i didn't follow  your argument""",42.0
FOLLOW#7,follow,follow,,,,,Active,,"| 21% verb: To move behind in the same direction--""i followed him to the  station""; to pursue, trail, track (infrequent)",21.0
FOOL#2,fool,fool,,Negativ,,,,,| 37% verb: To deceive or joke with,37.0
FOOL#3,fool,fool,,,,,Active,,"| 15% verb: 'fool around,' 'fool with'--to trifle, to have fun",15.0
FORCE#3,force,forc,,Negativ,Strong,,Active,,"| 39% verb: To compel, impose, overcome the resistance of",39.0
FORECAST#2,forecast,forecast,,,,,,,|,
FORESEE,foresee,forese,,,,,,Passive,|,
FORFEIT,forfeit,forfeit,,Negativ,,Weak,,Passive,|,
FORGAVE,forgave,forgav,Positiv,,,,,,|,
FORGET,forget,forget,,,,Weak,,Passive,"| verb: To fail to remember, lose memory of",
FORGIVE,forgive,forgiv,Positiv,,,,,,|,
FORGOT,forgot,forget,,,,Weak,,Passive,|,
FORGOTTEN#2,forgotten,forget,,,,Weak,,Passive,|,
FORM#2,form,form,,,,,Active,,| 31% verb: To constitute or bring into existence,31.0
FORMULATE#2,formulate,formul,,,,,Active,,|,
FORSAKE,forsake,forsak,,Negativ,,Weak,,Passive,|,
FORTIFY,fortify,fortifi,Positiv,,Strong,,Active,,|,
FOSSILIZE,fossilize,fossil,,,,,,Passive,|,
FOSTER,foster,foster,Positiv,,,,Active,,|,
FOUGHT,fought,fight,,Negativ,Strong,,Active,,"| verb: Past tense of ""fight""--engaged in conflict",
FOUNDER#2,founder,founder,,Negativ,,Weak,,Passive,|,
FRACTURE,fracture,fractur,,Negativ,,Weak,,Passive,|,
FRAME#2,frame,frame,,,Strong,,Active,,|,
FREE#2,free,free,Positiv,,Strong,,Active,,"| 5% verb: To make free, set at liberty, release from bondage, restraint",5.0
FREEZE,freeze,freez,,,,,,,,
FREQUENT#3,frequent,frequent,,,,,,,| 0% verb: To go to habitually,0.0
FRET,fret,fret,,Negativ,,Weak,Active,,|,
FRIGHTEN#1,frighten,frighten,,Negativ,,,Active,,| 19% verb: To scare,19.0
FROLIC,frolic,frolic,Positiv,,,,Active,,|,
FROWN#2,frown,frown,,Negativ,,,,Passive,|,
FRUSTRATE#1,frustrate,frustrat,,Negativ,Strong,,,,| 20% verb: To thwart,20.0
FRY#2,fry,fri,,,,,,,|,
FUCK,fuck,fuck,,,Strong,,Active,,|,
FULFILL,fulfill,fulfil,Positiv,,Strong,,,,|,
FUMBLE,fumble,fumbl,,Negativ,,Weak,Active,,|,
FUME#2,fume,fume,,,,,,,|,
FUN#2,fun,fun,,Negativ,,,,,"| 3% idiom-verb: ""Make fun (of)""--to tease, parody",3.0
FUNCTION#1,function,function,,,Strong,,Active,,"| 48% verb: To perform, act, serve, operate",48.0
FURNISH,furnish,furnish,,,,,Active,,|,
FURTHER#3,further,further,,,Strong,,,,"| 12% verb: To extend, increase, promote",12.0
FUSS,fuss,fuss,,Negativ,,Weak,Active,,|,
GAIN#1,gain,gain,Positiv,,Strong,,Active,,"| 83% verb: To get, obtain, win",83.0
GAMBLE#2,gamble,gambl,,Negativ,,,Active,,|,
GAPE,gape,gape,,,,,,,,
GARNISH,garnish,garnish,Positiv,,,,Active,,|,
GAS#2,gas,gas,,,,,,,|,
GASP#2,gasp,gasp,,,,,,,|,
GATHER#1,gather,gather,,,,,Active,,| 89% verb: To collect into a group.,89.0
GAUGE#2,gauge,gaug,,,,,Active,,|,
GAZE#2,gaze,gaze,,,,,,Passive,|,
GENERALIZE,generalize,general,,,,,Active,,|,
GENERATE,generate,generat,Positiv,,,,Active,,|,
GESTURE#2,gesture,gestur,,,,,Active,,|,
GET#1,get,get,,,,,Active,,"| 29% verb: To have or gain possession or control of something--to obtain,  fetch, receive, acquire--includes use in past tense meaning ""have""--""she's  got brown hair""; understand ",29.0
GIVE#1,give,give,Positiv,,,,Active,,"| 90% verb: To donate, provide (with), present, hand over, emit or issue,  cause to have; prone, wont--""he is given to drink"" (2)",90.0
GLADDEN,gladden,gladden,Positiv,,,,,,|,
GLANCE#2,glance,glanc,,,,,,Passive,|,
GLEAM#2,gleam,gleam,Positiv,,,,,,|,
GLEAN,glean,glean,Positiv,,,,Active,,|,
GLIMMER,glimmer,glimmer,Positiv,,Strong,,,Passive,|,
GLIMPSE#2,glimpse,glimps,,,,,,Passive,|,
GLISTEN#2,glisten,glisten,Positiv,,,,,,|,
GLITTER#2,glitter,glitter,Positiv,,,,,,|,
GLOAT,gloat,gloat,,Negativ,Strong,,Active,,|,
GLORIFY,glorify,glorifi,Positiv,,Strong,,Active,,|,
GLOW#1,glow,glow,Positiv,,,,,,|,
GO#1,go,go,,,,,Active,,"| 88% verb: Indicates motion, action, change of state",88.0
GONE#1,gone,go,,,,,Active,,"| 77% verb: Indicates past motion, action, change of state",77.0
GONE#2,gone,go,,,Strong,,Active,,"| 10% verb: 'gone on'--continued, proceeded, taken place",10.0
GONNA,gonna,go,,,,,,,|,
GOSSIP#2,gossip,gossip,,,,,,,|,
GOVERN#2,govern,govern,,,Strong,,,,|,
GRAB,grab,grab,,Negativ,,,Active,,| verb: To seize or clutch.,
GRADE#3,grade,grade,,,,,,,"| 6% verb: To arrange or classify by stages, to rate or rank",6.0
GRADUATE#2,graduate,graduat,,,,,,,| 32% verb: To graduate from,32.0
GRANT#2,grant,grant,,,Strong,,,,"| 42% verb: To confer or give in promise, to allow, acknowledge",42.0
GRAPPLE,grapple,grappl,,Negativ,Strong,,Active,,|,
GRASP#2,grasp,grasp,,,Strong,,Active,,|,
GRATIFY,gratify,gratifi,Positiv,,,,Active,,|,
GRAVITATE,gravitate,gravit,,,,,,,,
GREASE#2,grease,greas,,,,,,,|,
GREET#2,greet,greet,Positiv,,,,,,|,
GRIEVE,grieve,griev,,Negativ,,,Active,,|,
GRIN#2,grin,grin,,,,,,,|,
GRIND#2,grind,grind,,,Strong,,Active,,|,
GRIP#2,grip,grip,,,Strong,,Active,,|,
GROOM,groom,groom,Positiv,,,,Active,,|,
GROSS#2,gross,gross,,,,,,,|,
GROUND#4,ground,ground,,,Strong,,Active,,| 3% verb: Past tense and participle of 'grind',3.0
GROUP#3,group,group,,,,,Active,,| 0% verb: To form groups,0.0
GROW#1,grow,grow,,,Strong,,Active,Passive,"| 34% verb: To increase in size, intensity, etc.--especially of living things",34.0
GROW#2,grow,grow,,,Strong,,,,"| 29% idiom-verb: 'grow up'--to mature, attain maturity",29.0
GROWL,growl,growl,,Negativ,,,Active,,|,
GROWN#1,grown,grow,,,Strong,,,Passive,"| 8% verb: To have increased in size, intensity, etc.",8.0
GRUMBLE,grumble,grumbl,,Negativ,,,,,|,
GUARANTEE#2,guarantee,guarante,Positiv,,Strong,,,,|,
GUARD#1,guard,guard,,,Strong,,Active,,| 55% verb: To protect or watch out for,55.0
GUESS#1,guess,guess,,,,,,,"| verb: To form an opinion from uncertain evidence, to estimate or conjecture,  or to think or suppose (as interjection)",
GUIDE#1,guide,guid,Positiv,,Strong,,Active,,| 50% verb: To direct,50.0
HAD#1,had,have,,,,,,,|,
HAGGLE,haggle,haggl,,,,,,,,
HAIR#2,hair,hair,,,,,,,| 2% noun: 'let one's hair down'-habitual demeanor,2.0
HALT,halt,halt,,,Strong,,Active,,|,
HAMPER,hamper,hamper,,Negativ,Strong,,Active,,|,
HANDLE#1,handle,handl,,,Strong,,Active,,"| 83% verb: To manage, guide, have under one's jurisdiction or control",83.0
HANG#1,hang,hang,,,,,,Passive,| 59% verb: To be suspended or to remain (intransitive),59.0
HANG#2,hang,hang,,,,Weak,Active,,"| 18% verb: 'hang on to'--cling to, retain",18.0
HANKER,hanker,hanker,,,,,,,,
HAPPEN#1,happen,happen,,,,,,Passive,| 92% verb: To take place or occur,92.0
HARASS,harass,harass,,Negativ,,,Active,,|,
HARBOR#2,harbor,harbor,,,Strong,,,,|,
HARDEN,harden,harden,,,,,,,,
HARM#2,harm,harm,,Negativ,Strong,,Active,,"| 67% verb: To injure, damage, or hurt",67.0
HARMONIZE,harmonize,harmon,Positiv,,,,Active,,|,
HARNESS,harness,har,Positiv,,,,Active,,|,
HARVEST#2,harvest,harvest,,,,,Active,,|,
HAS#1,has,have,,,,,,,|,
HASTEN,hasten,hasten,,,,,Active,,|,
HATE#1,hate,hate,,Negativ,,,,Passive,"| 80% verb: To dislike passionately, to detest",80.0
HAUNT,haunt,haunt,,Negativ,,,Active,,|,
HAVE#1,have,have,,,,,Active,,"| 36% verb: Possess, experience, engage in, cause to happen",36.0
HAZARD#2,hazard,hazard,,Negativ,,,Active,,|,
HEAL,heal,heal,Positiv,,Strong,,,,|,
HEAP#2,heap,heap,,,,,Active,,|,
HEAR#1,hear,hear,,,,,,Passive,"| 64% verb: To perceive sound, to listen; to pay attention (infrequent)",64.0
HEAT#2,heat,heat,,,Strong,,Active,,| 23% verb: To make hot,23.0
HEDGE,hedge,hedg,,Negativ,,Weak,,,|,
HEED,heed,heed,,,,,,Passive,|,
HEIGHTEN,heighten,heighten,,,Strong,,,,|,
HELP#2,help,help,Positiv,,,,Active,,"| 75% verb: To aid, assist",75.0
HERD#2,herd,herd,,,Strong,,Active,,| 35% verb: To form and maintain such groups,35.0
HESITATE,hesitate,hesit,,,,Weak,,Passive,|,
HIDDEN#2,hidden,hide,,,,,,,"| 38% verb: Past tense of ""hide""--concealed",38.0
HIDE#1,hide,hide,,,,Weak,Active,,| 57% verb: To conceal oneself,57.0
HIGHLIGHT,highlight,highlight,Positiv,,,,Active,,|,
HINDER,hinder,hinder,,Negativ,Strong,,,,|,
HINGE#2,hinge,hing,,,,,,,|,
HIRE,hire,hire,,,Strong,,Active,,|,
HIT#1,hit,hit,,Negativ,Strong,,Active,,"| 90% verb: To strike or collide against, present and past tense",90.0
HOARD,hoard,hoard,,Negativ,,,,,|,
HOBBLE,hobble,hobbl,,Negativ,,Weak,Active,,|,
HOLD#1,hold,hold,,,,,Active,,"| 67% verb: Verb denoting possession, control, or maintenance in a given  position or state, thus contain , retain; to conduct, carry on, engage  in--""hold a meeting"" (11); to fill ",67.0
HOLD#2,hold,hold,,,,,,Passive,"| 12% verb: Believe, feel, profess, say--""we hold these truths to be . . .""",12.0
HONOR#1,honor,honor,Positiv,,,,,Passive,"| 35% verb: To esteem, exalt, respect",35.0
HOP#2,hop,hop,,,,,Active,,|,
HOPE#1,hope,hope,Positiv,,,,,Passive,"| 74% verb: To look forward with desire and trust to something happening,  to feel that something desired may happe",74.0
HORRIFIES,horrifies,horrifi,,,,,,,,
HORRIFY,horrify,horrifi,,Negativ,,,Active,,|,
HOUSE#5,house,hous,,,,,,,"| 0% verb: To shelter, lodge, accommodate",0.0
HUDDLE#2,huddle,huddl,,,,Weak,,Passive,|,
HUG,hug,hug,Positiv,,,,Active,,|,
HUMILIATE,humiliate,humili,,Negativ,,,Active,,|,
HUNG#1,hung,hang,,,,,,Passive,| 43% verb: To have suspended or attached (transitive),43.0
HUNT#2,hunt,hunt,,Negativ,,,Active,,| 94% verb: To chase and kill animals; to search out (14),94.0
HURL,hurl,hurl,,,,,,,,
HURRY#2,hurry,hurri,,,,,Active,,| 48% verb: To rush or cause to rush,48.0
HURT#1,hurt,hurt,,Negativ,Strong,,Active,,"| 89% verb: To injure or harm, to cause or experience pain or distress",89.0
HURTLE,hurtle,hurtl,,,,,Active,,|,
HUSTLE,hustle,hustl,,Negativ,,,Active,,|,
IDENTIFY,identify,identifi,,,,,,Passive,|,
IDLE#2,idle,idl,,,,,,Passive,|,
IDOLIZE,idolize,idol,Positiv,,,,Active,,|,
IGNORE,ignore,ignor,,,,,Active,,|,
ILLUMINATE,illuminate,illumin,Positiv,,,,Active,,|,
ILLUSTRATE,illustrate,illustr,,,,,Active,,|,
IMAGINE,imagine,imagin,,,,,,Passive,"| verb: To form a mental image, to speculate, conjecture, suppose, or fantasize",
IMITATE,imitate,imit,,,,,,,,
IMMIGRATE,immigrate,immigr,,,,,,,,
IMPAIR,impair,impair,,Negativ,Strong,,Active,,|,
IMPEDE,impede,imped,,Negativ,Strong,,Active,,|,
IMPEL,impel,impel,,,Strong,,Active,,|,
IMPLEMENT,implement,implement,,,Strong,,Active,,|,
IMPLICATE,implicate,implic,,Negativ,,,Active,,|,
IMPLORE,implore,implor,,Negativ,,Weak,Active,,|,
IMPLY,imply,impli,,,,,,Passive,|,
IMPORT,import,import,,,,,Active,,|,
IMPOSE,impose,impos,,Negativ,Strong,,Active,,|,
IMPRESS#1,impress,impress,Positiv,,Strong,,Active,,"| 97% verb: To have a strong, usually pleasing, effect on the mind or Emotions",97.0
IMPRISON,imprison,imprison,,Negativ,,,Active,,|,
IMPROVE#1,improve,improv,Positiv,,Strong,,Active,,| 76% verb: To make better in quality or condition,76.0
IMPUTE,impute,imput,,,,,,,,
INAUGURATE,inaugurate,inaugur,Positiv,,,,Active,,|,
INCLINE#2,incline,inclin,,,,,,Passive,|,
INCLUDE,include,includ,,,Strong,,,,| verb: To contain or embrace,
INCORPORATE#2,incorporate,incorpor,,,,,,,|,
INCREASE#1,increase,increas,,,Strong,,Active,,"| 39% verb: To make greater in any respect, augment",39.0
INCUR,incur,incur,,,,,Active,,|,
INDICATE,indicate,indic,,,,,,,"| verb: To point out, signify, or intimate",
INDUCE,induce,induc,,,Strong,,Active,,|,
INDULGE,indulge,indulg,,Negativ,,,Active,,|,
INDUSTRIALIZE,industrialize,industri,,,Strong,,,,|,
INFECT,infect,infect,,Negativ,,,Active,,|,
INFER,infer,infer,Positiv,,,,Active,,|,
INFEST,infest,inf,,Negativ,,,Active,,|,
INFLAME,inflame,inflam,,Negativ,,,Active,,|,
INFLATE,inflate,inflat,,,,,,,,
INFLICT,inflict,inflict,,Negativ,,,Active,,|,
INFLUENCE#2,influence,influenc,,,Strong,,Active,,| 48% verb: To exercise such power,48.0
INFORM#1,inform,inform,Positiv,,,,Active,,"| 64% verb: To notify, to give information to",64.0
INFURIATE,infuriate,infuri,,Negativ,,,Active,,|,
INHABIT,inhabit,inhabit,,,,,,,|,
INHERIT,inherit,inherit,Positiv,,,,,Passive,|,
INHIBIT,inhibit,inhibit,,Negativ,Strong,,Active,,|,
INITIATE,initiate,initi,,,Strong,,Active,,|,
INJECT,inject,inject,,,,,,,,
INJURE,injure,injur,,Negativ,,,,Passive,|,
INNOVATE,innovate,innov,Positiv,,,,Active,,|,
INQUIRE,inquire,inquir,,,,,Active,,|,
INSERT#2,insert,insert,,,,,Active,,|,
INSINUATE,insinuate,insinu,,Negativ,,,Active,,|,
INSIST,insist,insist,,,Strong,,Active,,| verb: To be emphatic or persistent in asserting or demanding,
INSPECT,inspect,inspect,,,,,Active,,|,
INSPIRE#2,inspire,inspir,Positiv,,Strong,,Active,,|,
INSTALL,install,instal,,,,,Active,,|,
INSTIGATE,instigate,instig,,,,,,,,
INSTITUTE#2,institute,institut,,,,,Active,,| 9% verb: To establish or initiate,9.0
INSTRUCT,instruct,instruct,,,Strong,,Active,,|,
INSULT,insult,insult,,Negativ,,,Active,,|,
INSURE,insure,insur,,,,,,,|,
INTEGRATE,integrate,integr,,,,,,,,
INTEND#1,intend,intend,,,,,Active,,| 95% verb: To have as plan or purpose,95.0
INTENSIFY,intensify,intensifi,,,Strong,,Active,,|,
INTERACT,interact,interact,,,,,,,,
INTERCEDE,intercede,interced,Positiv,,,,Active,,|,
INTERCOURSE,intercourse,intercours,Positiv,,,,Active,,|,
INTEREST#3,interest,interest,Positiv,,,,,,| 5% verb: To arouse interest,5.0
INTERESTED#1,interested,interest,Positiv,,,,,,| 2% verb: To arouse interest,2.0
INTERFERE,interfere,interfer,,Negativ,Strong,,Active,,|,
INTERPOSE,interpose,interpos,Positiv,,,,Active,,|,
INTERPRET,interpret,interpret,,,,,Active,,|,
INTERRUPT,interrupt,interrupt,,Negativ,,,Active,,|,
INTERTWINE,intertwine,intertwin,,,,,,,|,
INTERVENE,intervene,interven,,,,,Active,,|,
INTERVIEW#2,interview,interview,,,,,Active,,|,
INTIMIDATE,intimidate,intimid,,Negativ,Strong,,Active,,|,
INTOXICATE,intoxicate,intox,,Negativ,,,Active,,|,
INTRIGUE,intrigue,intrigu,Positiv,,,,,Passive,|,
INTRODUCE,introduce,introduc,,,,,Active,,|,
INTRUDE,intrude,intrud,,Negativ,,,Active,,|,
INTRUST,intrust,intrust,,,,,,,,
INUNDATE,inundate,inund,,Negativ,Strong,,Active,,|,
INVADE,invade,invad,,Negativ,,,,,|,
INVENT,invent,invent,,,,,Active,,|,
INVEST,invest,invest,,,,,Active,,|,
INVESTIGATE,investigate,investig,,,,,Active,,|,
INVITE#1,invite,invit,Positiv,,,,Active,,"| verb: To ask to a dinner, party, or for a visit or other social event;  more generally, to ask, request, call for (9)",
IRK,irk,irk,,Negativ,,,,Passive,|,
IRON#2,iron,iron,,,,,Active,,| 23% verb: To press one's clothes,23.0
IRRIGATE,irrigate,irrig,,,,,,,,
ISOLATE#2,isolate,isol,,Negativ,Strong,,Active,,|,
ISSUE#3,issue,issu,,,Strong,,Active,,"| 4% verb: To go, pass, or flow out, come forth, discharge, emit",4.0
JAIL#2,jail,jail,,Negativ,Strong,,Active,,| 4% verb: To imprison,4.0
JAR#2,jar,jar,,Negativ,Strong,,Active,,|,
JEER,jeer,jeer,,Negativ,,,Active,,|,
JEOPARDIZE,jeopardize,jeopard,,Negativ,,,,,|,
JERK#2,jerk,jerk,,Negativ,Strong,,Active,,|,
JEST,jest,j,Positiv,,,,Active,,|,
JOIN#1,join,join,,,,,Active,,| 59% verb: To become a member of a group or organization,59.0
JOIN#2,join,join,Positiv,,Strong,,Active,,"| 33% verb: To unite with, agree with, come together--""let us join together,""  ""i join you in praising him""; to get or come together in an informal way--'i'll",33.0
JOKE#2,joke,joke,Positiv,,,,,,"| 10% verb: To jest, be funny",10.0
JOURNEY#2,journey,journey,,,,,Active,,| 4% verb: To travel,4.0
JUDGE#1,judge,judg,,,Strong,,Active,,"| 49% verb: To form an opinion, estimate, generally moral or evaluative,  usually about human matters; to pass sentence in a court of law (2)",49.0
JUMP#1,jump,jump,,,,,Active,,| 95% verb: To leap; to rise or increase suddenly (1),95.0
JUSTIFY,justify,justifi,Positiv,,,,,,|,
KEEP#1,keep,keep,,,,,Active,,"| 79% verb: Cause to remain, continue, persist in some state or activity--  ""keep alert,"" ""keep your eyes open""; hold, possess, retain, maintain,  manage, ""keep the peace,"" ""don'",79.0
